model,coverage,risk
VGG16,0.1125,0.022222222222222223
VGG16,0.113125,0.022099447513812154
VGG16,0.11375,0.02197802197802198
VGG16,0.114375,0.02185792349726776
VGG16,0.115,0.021739130434782608
VGG16,0.115625,0.021621621621621623
VGG16,0.11625,0.021505376344086023
VGG16,0.116875,0.0213903743315508
VGG16,0.1175,0.02127659574468085
VGG16,0.118125,0.021164021164021163
VGG16,0.11875,0.021052631578947368
VGG16,0.119375,0.020942408376963352
VGG16,0.12,0.020833333333333332
VGG16,0.120625,0.02072538860103627
VGG16,0.12125,0.020618556701030927
VGG16,0.121875,0.020512820512820513
VGG16,0.1225,0.02040816326530612
VGG16,0.123125,0.02030456852791878
VGG16,0.12375,0.020202020202020204
VGG16,0.124375,0.020100502512562814
VGG16,0.125,0.02
VGG16,0.125625,0.01990049751243781
VGG16,0.12625,0.019801980198019802
VGG16,0.126875,0.019704433497536946
VGG16,0.1275,0.0196078431372549
VGG16,0.128125,0.01951219512195122
VGG16,0.12875,0.019417475728155338
VGG16,0.129375,0.01932367149758454
VGG16,0.13,0.019230769230769232
VGG16,0.130625,0.019138755980861243
VGG16,0.13125,0.01904761904761905
VGG16,0.131875,0.018957345971563982
VGG16,0.1325,0.018867924528301886
VGG16,0.133125,0.018779342723004695
VGG16,0.13375,0.018691588785046728
VGG16,0.134375,0.018604651162790697
VGG16,0.135,0.018518518518518517
VGG16,0.135625,0.018433179723502304
VGG16,0.13625,0.01834862385321101
VGG16,0.136875,0.0182648401826484
VGG16,0.1375,0.01818181818181818
VGG16,0.138125,0.01809954751131222
VGG16,0.13875,0.018018018018018018
VGG16,0.139375,0.017937219730941704
VGG16,0.14,0.017857142857142856
VGG16,0.140625,0.017777777777777778
VGG16,0.14125,0.017699115044247787
VGG16,0.141875,0.01762114537444934
VGG16,0.1425,0.017543859649122806
VGG16,0.143125,0.017467248908296942
VGG16,0.14375,0.017391304347826087
VGG16,0.144375,0.017316017316017316
VGG16,0.145,0.017241379310344827
VGG16,0.145625,0.017167381974248927
VGG16,0.14625,0.017094017094017096
VGG16,0.146875,0.01702127659574468
VGG16,0.1475,0.01694915254237288
VGG16,0.148125,0.016877637130801686
VGG16,0.14875,0.01680672268907563
